Office vacancy by country,,,,
source: https://www.rba.gov.au/publications/bulletin/2023/sep/financial-stability-risks-from-commercial-real-estate.html,,,,
Year,US,Australia,Europe,Hong Kong
2007,12,5.9,9.1,3
2008,10.9,6.3,8.7,3.4
2009,9.8,6.7,8.3,3.8
2010,8.7,7.1,7.9,4.2
2011,8.9,6.8,8.2,3.9
2012,8.2,6.5,7.8,4.1
2013,7.5,6.2,7.4,4.3
2014,6.8,5.9,7,4.5
2015,7.3,6.1,7.5,4.7
2016,7.8,6.4,7.7,4.9
2017,8.3,6.7,8,5.1
2018,9,7,8.4,5.3
2019,8.9,5.8,6.8,3.2
2020,9.8,6.2,7.4,3.6
2021,10.7,7,8.2,4
2022,11.6,7.8,9,4.4
2023,11.9,8.2,9.5,4.9